article,page,title,chars,comments,editors,first,last
אוטיזם,שיחה:אוטיזם,נמצאו קישורים חיצוניים שצריכים תיקון (מרץ 2024),1344,2,2,9 במרץ 2024,9 במרץ 2024
אוטיזם,שיחה:אוטיזם,בקשת הסבר מכותבי הערך,4952,8,2,22 במרץ 2024,22 במרץ 2024
אוטיזם,שיחה:אוטיזם,[[:אוטיזם]],8078,16,6,23 באפריל 2024,29 באפריל 2024
אוטיזם,שיחה:אוטיזם,נמצאו קישורים חיצוניים שצריכים תיקון (אפריל 2024),1484,2,2,27 באפריל 2024,13 ביוני 2024
אוטיזם,שיחה:אוטיזם,נמצאו קישורים חיצוניים שצריכים תיקון (יוני 2024),1006,2,2,13 ביוני 2024,13 ביוני 2024
אוטיזם,שיחה:אוטיזם,אוטיזם בצבא,2696,9,5,16 ביוני 2024,9 בינואר 2025
אוטיזם,שיחה:אוטיזם,יש טעות איומה בערך !!!!!,8868,4,2,6 באוקטובר 2024,9 באוקטובר 2024
אוטיזם,שיחה:אוטיזם,"הצורה של סמל הספקטרום האוטיסטי, לא כולם מכירים",633,2,1,11 בנובמבר 2024,11 בנובמבר 2024
אוטיזם,שיחה:אוטיזם,נמצאו קישורים חיצוניים שצריכים תיקון (נובמבר 2024),872,1,1,15 בנובמבר 2024,15 בנובמבר 2024
אוטיזם,שיחה:אוטיזם,נמצאו קישורים חיצוניים שצריכים תיקון (דצמבר 2024),1334,1,1,15 בדצמבר 2024,15 בדצמבר 2024
אוטיזם,שיחה:אוטיזם,דיון פיצול - היסטוריה של אוטיזם,2703,12,6,20 במרץ 2025,6 באפריל 2025
אוטיזם,שיחה:אוטיזם,ייצוג בקולנוע,725,3,2,22 במרץ 2025,25 במרץ 2025
אוטיזם,שיחה:אוטיזם,נשים אוטיסטיות,1166,4,4,6 באפריל 2025,9 באפריל 2025
אוטיזם,שיחה:אוטיזם,נמצאו קישורים חיצוניים שצריכים תיקון (יוני 2025),1243,1,1,21 ביוני 2025,21 ביוני 2025
אוטיזם,שיחה:אוטיזם,נמצאו קישורים חיצוניים שצריכים תיקון (אוגוסט 2025),1710,1,1,25 באוגוסט 2025,25 באוגוסט 2025
אוטיזם,שיחה:אוטיזם,"האם המלה ""תסמונת"" מתאימה לתיאור אוטיזם?",1095,4,2,26 בנובמבר 2025,28 בנובמבר 2025
אוטיזם,שיחה:אוטיזם,הכינויים העבריים לפני המינוח הנוכחי,1564,2,2,12 בינואר 2026,12 בינואר 2026
אוטיזם,שיחה:אוטיזם,נמצאו קישורים חיצוניים שצריכים תיקון (מאי 2026),1666,2,2,13 במאי 2026,14 במאי 2026
אוטיזם,שיחה:אוטיזם,נמצאו קישורים חיצוניים שצריכים תיקון (יוני 2026),3645,1,1,21 ביוני 2026,21 ביוני 2026
אוטיזם,שיחה:אוטיזם,עדכון לפי מחקרים חדשים,798,2,2,14 ביולי 2026,14 ביולי 2026
אוטיזם,שיחה:אוטיזם,נמצאו קישורים חיצוניים שצריכים תיקון (אוגוסט 2026),3056,1,1,23 באוגוסט 2026,23 באוגוסט 2026
אוטיזם,שיחה:אוטיזם/ארכיון 1,נוירולוגיה או פסיכולוגיה?,939,0,3,,
אוטיזם,שיחה:אוטיזם/ארכיון 1,אזהרה,217,2,2,26 פברואר 2006,26 פברואר 2006
אוטיזם,שיחה:אוטיזם/ארכיון 1,אוטיזם והטיפול בו,1199,0,0,,
אוטיזם,שיחה:אוטיזם/ארכיון 1,הבל גמור,1930,9,4,16 באוגוסט 2007,16 באוגוסט 2007
אוטיזם,שיחה:אוטיזם/ארכיון 1,מחיקת פרק,2995,6,3,17 באוגוסט 2007,17 באוגוסט 2007
אוטיזם,שיחה:אוטיזם/ארכיון 1,חלק גדול מהמאמר לא ניטראלי,536,1,1,26 בדצמבר 2009,26 בדצמבר 2009
אוטיזם,שיחה:אוטיזם/ארכיון 1,הורדת ההודעה לפיה הערך דורש סידור והרחבה.,583,2,2,26 בדצמבר 2009,26 בדצמבר 2009
אוטיזם,שיחה:אוטיזם/ארכיון 1,מעי דליף.,486,2,2,26 בדצמבר 2009,26 בדצמבר 2009
אוטיזם,שיחה:אוטיזם/ארכיון 1,הרחבת הערך,642,2,2,5 במרץ 2012,5 במרץ 2012
אוטיזם,שיחה:אוטיזם/ארכיון 1,קישור שבור,866,1,1,3 במאי 2013,3 במאי 2013
אוטיזם,שיחה:אוטיזם/ארכיון 1,קישור שבור 2,631,1,1,3 במאי 2013,3 במאי 2013
אוטיזם,שיחה:אוטיזם/ארכיון 1,קישור שבור 3,508,1,1,13 במאי 2013,13 במאי 2013
אוטיזם,שיחה:אוטיזם/ארכיון 1,קישור שבור 4,649,1,1,17 ביוני 2013,17 ביוני 2013
אוטיזם,שיחה:אוטיזם/ארכיון 1,קישור שבור 5,444,1,1,30 בדצמבר 2013,30 בדצמבר 2013
אוטיזם,שיחה:אוטיזם/ארכיון 1,הטעיה,855,2,2,20 באוקטובר 2014,11 בספטמבר 2016
אוטיזם,שיחה:אוטיזם/ארכיון 1,תבנית מחוקה,195,1,1,11 בדצמבר 2018,11 בדצמבר 2018
אוטיזם,שיחה:אוטיזם/ארכיון 1,סעיף לידה קיסרית,164,1,1,23 באוגוסט 2019,23 באוגוסט 2019
אוטיזם,שיחה:אוטיזם/ארכיון 1,שם הערך 2019,852,5,3,27 באוגוסט 2019,13 בספטמבר 2019
אוטיזם,שיחה:אוטיזם/ארכיון 1,דיווח על טעות,31,0,0,,
אוטיזם,שיחה:אוטיזם/ארכיון 1,פרטי הדיווח,346,2,1,13 בספטמבר 2019,13 בספטמבר 2019
אוטיזם,שיחה:אוטיזם/ארכיון 1,איחוד הערך [[הספקטרום האוטיסטי]] עם הערך [[אוטיזם]],368,2,1,26 באוגוסט 2021,21 באוקטובר 2021
אוטיזם,שיחה:אוטיזם/ארכיון 1,מחקר מקורי או מבוסס?,803,2,1,21 באוקטובר 2021,21 באוקטובר 2021
אוטיזם,שיחה:אוטיזם/ארכיון 1,דרישת עריכה,581,1,0,13 בנובמבר 2022,13 בנובמבר 2022
אוטיזם,שיחה:אוטיזם/ארכיון 1,מידע מוטל בספק ולא ממוסמך,2633,7,4,31 בדצמבר 2022,1 בינואר 2023
אוטיזם,שיחה:אוטיזם/ארכיון 1,שינוי שם?,8634,24,8,3 במרץ 2023,3 במרץ 2023
אוטיזם,שיחה:אוטיזם/ארכיון 1,סיכום ביניים,17210,24,7,3 במרץ 2023,5 במרץ 2023
אוטיזם,שיחה:אוטיזם/ארכיון 1,שם הערך לאחר השינוי,4848,13,8,9 במרץ 2023,9 באפריל 2023
אוטיזם,שיחה:אוטיזם/ארכיון 1,טיפולים,6730,17,5,3 במרץ 2023,2 במאי 2023
אוטיזם,שיחה:אוטיזם/ארכיון 2,The use of language in autism research,6451,12,2,29 באפריל 2023,2 במאי 2023
אוטיזם,שיחה:אוטיזם/ארכיון 2,אוטיזם וקשיי למידה,5412,10,4,29 באפריל 2023,17 ביוני 2023
אוטיזם,שיחה:אוטיזם/ארכיון 2,תוחלת חיים,3402,8,4,31 במאי 2023,18 ביוני 2023
אוטיזם,שיחה:אוטיזם/ארכיון 2,נמצאו קישורים חיצוניים שצריכים תיקון (יוני 2023),1688,2,2,5 ביוני 2023,5 ביוני 2023
אוטיזם,שיחה:אוטיזם/ארכיון 2,"שימוש בביטוי ""הספקטרום האוטיסטי"" במקום ""אוטיסט""",1895,5,4,18 ביוני 2023,18 ביוני 2023
אוטיזם,שיחה:אוטיזם/ארכיון 2,נמצאו קישורים חיצוניים שצריכים תיקון (יוני 2023),1328,2,2,20 ביוני 2023,20 ביוני 2023
אוטיזם,שיחה:אוטיזם/ארכיון 2,הבהרות,11042,24,7,20 ביוני 2023,24 ביוני 2023
אוטיזם,שיחה:אוטיזם/ארכיון 2,נמצאו קישורים חיצוניים שצריכים תיקון (יולי 2023),889,1,1,5 ביולי 2023,5 ביולי 2023
אוטיזם,שיחה:אוטיזם/ארכיון 2,הצעת הוספה למומלצים,24,0,0,,
אוטיזם,שיחה:אוטיזם/ארכיון 2,דיון,23503,42,12,19 ביולי 2023,29 באוגוסט 2023
אוטיזם,שיחה:אוטיזם/ארכיון 2,נמצאו קישורים חיצוניים שצריכים תיקון (יולי 2023),884,1,1,23 ביולי 2023,23 ביולי 2023
אוטיזם,שיחה:אוטיזם/ארכיון 2,מבנה הערך,1791,2,2,29 באוגוסט 2023,29 באוגוסט 2023
אוטיזם,שיחה:אוטיזם/ארכיון 2,"""לא"" בלשון עבר ועתיד",7522,16,6,4 בספטמבר 2023,11 בספטמבר 2023
